Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Realized & Unrealized Performance Summary,Data,Stocks,ARGX,0,0,0,0,0,0,1058.399851,0,0,0,1058.399851,1058.399851,
Realized & Unrealized Performance Summary,Data,Stocks,ARM,0,0,0,0,0,0,0,-1526.62,0,0,-1526.62,-1526.62,
Realized & Unrealized Performance Summary,Data,Stocks,ASML,0,0,0,0,0,0,9792.94624,0,0,0,9792.94624,9792.94624,
Realized & Unrealized Performance Summary,Data,Stocks,AVGO,0,13983.066432,0,0,0,13983.066432,15296.106169,0,0,0,15296.106169,29279.172601,
Realized & Unrealized Performance Summary,Data,Stocks,AZN,0,0,0,0,0,0,431.9,0,0,0,431.9,431.9,
Realized & Unrealized Performance Summary,Data,Stocks,BA,0,0,0,0,0,0,5481.98,0,0,0,5481.98,5481.98,
Realized & Unrealized Performance Summary,Data,Stocks,BABA,0,0,0,0,0,0,0,-1218.64,0,0,-1218.64,-1218.64,
Realized & Unrealized Performance Summary,Data,Stocks,BKNG,0,0,0,0,0,0,1025.049965,0,0,0,1025.049965,1025.049965,
Realized & Unrealized Performance Summary,Data,Stocks,BSX,0,0,0,0,0,0,0,-7.24,0,0,-7.24,-7.24,
Realized & Unrealized Performance Summary,Data,Stocks,BYDDY,0,0,0,0,0,0,0,-2474.360032,0,0,-2474.360032,-2474.360032,
Realized & Unrealized Performance Summary,Data,Stocks,CAT,0,0,0,0,0,0,171.77,0,0,0,171.77,171.77,
Realized & Unrealized Performance Summary,Data,Stocks,CEG,0,0,0,0,0,0,2001.914475,0,0,0,2001.914475,2001.914475,
Realized & Unrealized Performance Summary,Data,Stocks,CL,0,0,0,0,0,0,0,-452.28747,0,0,-452.28747,-452.28747,
Realized & Unrealized Performance Summary,Data,Stocks,CMCSA,0,0,0,0,0,0,813.780234,0,0,0,813.780234,813.780234,
Realized & Unrealized Performance Summary,Data,Stocks,CMG,0,0,0,0,0,0,0,-574.709485,0,0,-574.709485,-574.709485,
Realized & Unrealized Performance Summary,Data,Stocks,COP,0,0,0,0,0,0,667.718838,0,0,0,667.718838,667.718838,
Realized & Unrealized Performance Summary,Data,Stocks,COR,0,0,0,0,0,0,630.714186,0,0,0,630.714186,630.714186,
Realized & Unrealized Performance Summary,Data,Stocks,CORT,0,0,0,0,0,0,0,-1892.5,0,0,-1892.5,-1892.5,
